p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.60383414979621	0.999	0.689	0	0	Mgp
1.37602223023246e-319	1.23226395460697	0.978	0.579	2.3020851911789e-315	0	Lum
6.40119885283436e-309	1.18536782440789	0.999	0.661	1.07092056807919e-304	0	Igfbp7
8.90892051756935e-300	1.36356264379719	0.997	0.745	1.49046240258935e-295	0	Gsn
1.17241150442358e-299	1.0249765107486	0.999	0.645	1.96144444690066e-295	0	Bgn
8.50197883245394e-290	1.01419374837615	0.989	0.734	1.42238105866954e-285	0	Cfh
2.89335847069606e-256	0.871403658448109	0.787	0.154	4.84058872147451e-252	0	Nr2f2
3.02072813376127e-256	0.781768327938498	0.791	0.155	5.0536781677826e-252	0	Crispld2
5.40522349383017e-253	0.621384964503832	0.78	0.153	9.04293890517787e-249	0	Cpe
2.26089757716921e-246	1.12246488917158	0.993	0.688	3.78248164660409e-242	0	Dcn
1.158577892024e-242	0.700438472495673	0.799	0.175	1.93830081335615e-238	0	Cped1
3.42003607113296e-239	0.746550179320128	0.768	0.156	5.72172034700545e-235	0	Col4a1
3.35747557176202e-230	0.746271200381228	0.837	0.251	5.61705663155786e-226	0	Colec12
1.56773580829154e-223	0.649871354364856	0.767	0.17	2.62282200727175e-219	0	Mxra8
1.69253915758605e-212	0.665425819049607	0.684	0.124	2.83161801064145e-208	0	Col15a1
1.9476432773563e-206	0.613313730534538	0.67	0.121	3.25840720301709e-202	0	Lama2
7.06758674373152e-204	0.514623902166705	0.757	0.188	1.18240726222628e-199	0	Col6a1
8.89968067751265e-203	0.625517901375446	0.714	0.153	1.48891657734787e-198	0	Pdgfra
1.2198952436078e-202	0.625058834140021	0.747	0.177	2.04088474255585e-198	0	Bicc1
1.00705316526412e-201	0.60208518093606	0.724	0.16	1.68479994548688e-197	0	Lhfp
1.8553413597113e-200	0.63001503155842	0.718	0.158	3.103986094797e-196	0	Cd200
2.62441408587336e-199	0.696819645814623	0.942	0.538	4.39064476566613e-195	0	Nfib
8.16105418332935e-198	0.580491381342597	0.705	0.152	1.365344364871e-193	0	Sdc2
5.40048319420264e-197	0.701250882458389	1	0.643	9.03500838390102e-193	0	Serpinh1
9.58165734531029e-193	0.97470756955506	0.947	0.677	1.60301127387041e-188	0	Cebpd
3.78177623072342e-192	0.829428366907679	0.921	0.543	6.32691163400028e-188	0	Cygb
5.52023831668081e-184	0.762986279419272	0.986	0.641	9.235358703807e-180	0	Col1a2
8.22909031892775e-184	0.507145887012496	0.664	0.142	1.37672681035661e-179	0	Abcc9
1.69108663063006e-183	0.501914404674295	0.7	0.165	2.8291879330441e-179	0	Mxra7
3.28295514995895e-183	0.626368729895276	0.72	0.178	5.49238396588133e-179	0	Slc43a3
4.31012345805587e-182	0.554477379353881	0.634	0.122	7.21083654532746e-178	0	Col6a3
2.54980332001517e-179	0.85251782593395	0.632	0.129	4.26582095438538e-175	0	Hsd11b1
1.89875787829165e-178	0.702002515287739	0.996	0.672	3.17662193038193e-174	0	Sparc
6.35076623360891e-178	0.716424500939197	0.889	0.464	1.06248319088277e-173	0	Abi3bp
2.30735416197784e-177	0.776907665084997	0.58	0.097	3.86020351298892e-173	0	Gdf10
5.63716614398808e-177	0.52312311858061	0.713	0.184	9.43097895889205e-173	0	Prelp
2.48286504754173e-175	1.04793882601054	0.747	0.454	4.15383322453732e-171	0	F3
4.68535276842234e-172	0.533083428048011	0.693	0.173	7.83859518157057e-168	0	Loxl1
8.57834428080441e-172	0.541942404789149	0.572	0.097	1.43515699817858e-167	0	Matn2
2.2487941337959e-168	0.507989588316402	0.674	0.173	3.76223258584054e-164	0	Pdgfrl
3.07863573658565e-168	0.583066508023435	0.688	0.173	5.15055758730779e-164	0	Mmp2
4.11082613560414e-167	0.560026985394296	0.634	0.138	6.87741212486572e-163	0	Cpxm1
1.01770474329743e-165	0.594483603179934	0.634	0.139	1.70262003553661e-161	0	Vcam1
3.60968067587563e-165	0.693527488614049	0.657	0.158	6.03899577073993e-161	0	Cp
1.78639908473427e-162	0.463396325985524	0.449	0.047	2.98864566876043e-158	0	Cdh11
2.51554598292445e-160	0.519306683837307	0.591	0.118	4.2085084294326e-156	0	Dkk3
3.35650977662854e-159	1.11867468937189	0.795	0.465	5.61544085629955e-155	0	Ccn2
9.69162058310616e-159	0.499692325266029	0.48	0.063	1.62140812355366e-154	0	Spry1
2.02746167535085e-157	0.453443467131517	0.676	0.19	3.39194338286197e-153	0	Prrx1
9.65287717189986e-157	0.620050305876496	0.954	0.722	1.61492635085885e-152	0	Zbtb20
5.02793128452241e-156	0.442278591717553	0.546	0.097	8.41172903900599e-152	0	Pdgfrb
5.1410438012627e-156	0.413115141738649	0.676	0.188	8.6009662795125e-152	0	Fkbp9
5.51705150663435e-156	0.52824430681209	0.668	0.174	9.23002717059926e-152	0	Fhl1
9.11943374583757e-155	0.426542713226172	0.637	0.162	1.52568126567862e-150	0	Islr
1.30873122301643e-154	0.434552032542391	0.612	0.14	2.1895073361065e-150	0	Rbms3
7.6255941113093e-153	0.487763340128839	0.721	0.218	1.27576189482205e-148	0	Cpq
1.06604328118615e-152	0.414796870059794	0.659	0.179	1.78349040942443e-148	0	Npdc1
1.20206222313674e-152	0.455173227456915	0.599	0.134	2.01105009930776e-148	0	Clec11a
3.25577938043806e-148	0.800006964526131	0.895	0.537	5.44691890347288e-144	0	Fmo2
4.24162429370616e-148	0.64363965003654	0.97	0.62	7.0962374433704e-144	0	Serping1
5.15957518525203e-148	0.802285001766804	0.934	0.684	8.63196928492664e-144	0	Id3
5.55792950199477e-148	0.430239282771013	0.605	0.143	9.29841605683725e-144	0	Ar
3.03655296229762e-147	0.594868576044102	0.554	0.11	5.08015310592391e-143	0	Fbln7
4.95618388077418e-146	1.20323964719707	0.732	0.458	8.29169563253521e-142	0	Igfbp5
1.86667397879605e-145	0.650039589972137	0.957	0.609	3.1229455665258e-141	0	Col1a1
2.17547926803509e-145	0.63068980234947	0.963	0.613	3.6395768154227e-141	0	Col3a1
1.05466150596534e-144	0.478535887136204	0.589	0.134	1.76444869948002e-140	0	Phlda3
1.31530664277655e-144	0.401415902485057	0.662	0.202	2.20050801336517e-140	0	Adamts2
1.4121081684895e-144	0.42003434260059	0.632	0.165	2.36245696588294e-140	0	Lamb2
4.29583823341189e-144	0.420418832182321	0.604	0.145	7.18693736449809e-140	0	P3h3
3.88795984852716e-143	0.490106163265431	0.708	0.221	6.50455682658594e-139	0	Nfic
4.95203093382038e-143	0.490112755772561	0.696	0.211	8.2847477522815e-139	0	4930523C07Rik
6.03215136352291e-143	0.390183890561426	0.638	0.187	1.00917892311738e-138	0	Itgbl1
9.83941197521585e-143	0.391693276345516	0.654	0.194	1.64613362345361e-138	0	Crip2
9.26365511534262e-142	0.509942860110738	0.658	0.184	1.54980950079682e-137	0	Angptl4
8.17338912197041e-141	0.571753953291647	0.88	0.562	1.36740800010565e-136	0	Klf9
9.27329538234252e-141	0.635589245411636	0.468	0.071	1.5514223174659e-136	0	Serpine2
4.53545424517523e-139	0.657323592680207	0.947	0.62	7.58781495217817e-135	0	Serpinf1
6.60158194061015e-139	0.359610760374479	0.597	0.162	1.10444465866408e-134	0	C1s1
5.13514311799432e-137	0.416494808796733	0.629	0.174	8.5910944364045e-133	0	Fkbp7
1.38644648273614e-136	0.391016308607506	0.555	0.123	2.31952496561757e-132	0	Pkd2
1.9956220076873e-136	0.555967857106763	0.992	0.818	3.33867561886085e-132	0	Ctsl
6.95469896653018e-136	0.43847885024056	0.533	0.109	1.1635211371005e-131	0	Gata6
1.63328865639784e-135	0.443769061782241	0.632	0.177	2.73249192215358e-131	0	Sod3
