p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.72899723198699	0.984	0.388	0	0	Acta2
0	1.61715163883493	0.966	0.275	0	0	Myl9
0	1.5896475744545	0.971	0.294	0	0	Tagln
0	1.5205986899937	0.946	0.288	0	0	Tpm2
0	1.31317482435355	0.907	0.35	0	0	Csrp2
0	1.27721182363083	0.825	0.164	0	0	Cnn1
0	1.23851338145321	0.831	0.396	0	0	Hspb1
0	1.23393736288869	0.919	0.416	0	0	Dstn
0	1.19871844420582	0.996	0.838	0	0	Tmsb4x
0	1.19540966448668	0.98	0.655	0	0	Myl6
0	1.06613687309223	0.819	0.277	0	0	Csrp1
0	1.01135079754773	0.776	0.23	0	0	Tpm1
0	0.979956258821152	0.743	0.145	0	0	Myh11
0	0.84348106560798	0.642	0.119	0	0	Ppp1r14a
0	0.587355673133848	0.507	0.071	0	0	Sh3bgr
6.95800887240428e-309	0.714236722125515	0.668	0.19	9.4350600309802e-305	0	Flna
9.92041221454556e-299	0.652296459017449	0.482	0.071	1.34520789629238e-294	0	Sost
1.13772177214727e-290	0.665045335087119	0.608	0.152	1.5427507230317e-286	0	Lmod1
1.52129894370319e-290	0.506756973039256	0.42	0.049	2.06288136766152e-286	0	Fbxl22
4.43097057361294e-277	0.551261293018012	0.482	0.086	6.00839609781915e-273	0	Hspb6
4.5344108671126e-258	0.514403270107278	0.494	0.096	6.14866113580469e-254	0	Ccn3
8.69721898727504e-258	0.61755313935024	0.598	0.174	1.1793428946745e-253	0	Rbpms
1.78810310514135e-257	0.727131749122602	0.71	0.278	2.42466781057167e-253	0	Cald1
3.15623685514034e-257	0.640327599747962	0.615	0.194	4.2798571755703e-253	0	Actn1
6.75326010200116e-248	0.705821587529921	0.403	0.062	9.15742069831357e-244	0	Actg2
2.15140371607025e-239	0.744527693021299	0.784	0.37	2.91730343899126e-235	0	Cpe
2.41605739963064e-235	0.522341321544539	0.486	0.113	3.27617383389914e-231	0	Pdlim3
1.88069213424686e-231	0.58602726713237	0.594	0.187	2.55021853403875e-227	0	Map1b
1.63885438630052e-228	0.547465221314333	0.557	0.156	2.2222865478235e-224	0	Fblim1
1.41853383378499e-227	0.554470962580685	0.522	0.154	1.92353187861244e-223	0	Msrb1
8.76216207936557e-224	0.515510640702487	0.523	0.135	1.18814917796197e-219	0	Ramp1
3.41734571777247e-216	0.47418853466603	0.491	0.117	4.63392079329947e-212	0	Itga8
5.29103599769314e-205	0.760760984942906	0.949	0.75	7.1746448128719e-201	0	Vim
7.23722137069878e-205	0.611087950071494	0.669	0.286	9.81367217866755e-201	0	Fhl1
3.75069658734891e-192	0.545457215088306	0.409	0.085	5.08594457244512e-188	0	Tcap
8.83024709517158e-183	0.634719907619172	0.653	0.267	1.19738150610527e-178	0	Mfap4
1.59608285929575e-167	0.580925874655015	0.631	0.317	2.16428835720503e-163	0	Gstm1
2.13416311898279e-166	0.519772855344044	0.634	0.265	2.89392518934066e-162	0	Ltbp1
4.08951021622469e-157	0.582676213735782	0.848	0.54	5.54537585320068e-153	0	Lgals1
4.09081142903306e-155	0.575374516431065	0.752	0.504	5.54714029776882e-151	0	Dynll1
3.55366190953897e-154	0.489988773737717	0.417	0.113	4.81876554933484e-150	0	Rbp4
