p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
3.26028064438778e-176	1.18989572832643	0.952	0.475	5.22818604134024e-172	0	Htra3
5.89095361269944e-176	1.58973409727069	0.995	0.855	9.44673321332482e-172	0	Gsn
4.53609797624091e-147	1.02750194097618	0.995	0.696	7.27408671469992e-143	0	Serping1
1.96654814421922e-141	0.917264040826821	0.864	0.32	3.15355660406995e-137	0	Entpd2
1.04230491443136e-130	0.876679550589138	0.975	0.555	1.67144016078213e-126	0	Cygb
1.40149791963923e-130	1.12110453037625	0.986	0.636	2.24744206393347e-126	0	Col3a1
2.53813155439356e-129	0.957525714145562	0.984	0.686	4.07014776062551e-125	0	Fbln1
3.8663466422746e-116	0.843963466499139	0.607	0.105	6.20007347555155e-112	0	Srpx
1.07496687133448e-113	0.768401337455509	0.634	0.116	1.72381687487197e-109	0	Col15a1
1.16646067002051e-108	0.831692007538658	0.98	0.666	1.87053633044489e-104	0	Pcolce
3.59465677635948e-88	0.507946361659466	0.632	0.156	5.76439160657006e-84	0	Sparcl1
3.01430829056179e-86	0.672919562272753	0.986	0.713	4.83374477474489e-82	0	Ccdc80
4.44440000156692e-85	0.714863814448028	0.945	0.695	7.12703984251272e-81	0	Ecm1
1.59833481961599e-83	0.605487586666796	1	0.82	2.5630897167362e-79	0	Dcn
2.20400244481586e-83	0.70165737751981	0.65	0.173	3.53433832050672e-79	0	C1s1
4.8293091789247e-81	0.683247294437711	0.982	0.765	7.74428019932366e-77	0	Igfbp4
5.05692305932383e-81	0.632077820583598	0.986	0.771	8.10928181793169e-77	0	Serpinh1
1.14799408998049e-80	1.10041246917226	0.809	0.472	1.84092332269272e-76	0	C3
2.62704199078825e-80	0.627911899328491	0.982	0.809	4.21272453642804e-76	0	Tuba1a
8.08164590603381e-80	0.585228988309904	0.97	0.618	1.29597273749158e-75	0	Dpt
4.12108753356564e-79	0.519340127367342	0.555	0.116	6.60857596882586e-75	0	Ms4a4d
1.37760468866461e-77	0.629131612793878	0.984	0.653	2.20912687874257e-73	0	Col1a1
1.73044358660022e-76	0.535454364610805	0.595	0.147	2.77493933547211e-72	0	Tnxb
7.36413340878307e-76	0.594665227711372	0.986	0.684	1.18091243343245e-71	0	Col1a2
3.55662301140333e-75	1.01448685712295	0.857	0.492	5.70340066108637e-71	0	Gpx3
1.56859517570065e-74	0.452197055383782	0.991	0.713	2.51539922375356e-70	0	Lum
5.30215344593013e-73	0.576148774574136	0.998	0.785	8.50253326589355e-69	0	Bgn
2.53290524304973e-72	0.551598220214822	0.952	0.615	4.06176684775454e-68	0	Lhfp
4.58252712979933e-71	0.540997567375505	1	0.817	7.34854050534621e-67	0	Igfbp7
1.88131016866793e-70	0.729749311715976	0.741	0.3	3.01686898647589e-66	0	Clec3b
2.59251527755298e-70	0.597135137983086	0.898	0.615	4.15735749908396e-66	0	Lrp1
3.1559375009294e-70	0.486772932229507	0.434	0.067	5.06086137649038e-66	0	Ngf
3.53152700049284e-70	0.554530015881978	0.595	0.174	5.66315669799032e-66	0	Lamc1
7.39142720887272e-70	0.727721511089157	0.784	0.407	1.18528926721483e-65	0	Gas1
4.99675292940539e-69	0.550620225026845	0.973	0.666	8.01279299759449e-65	0	Serpinf1
