p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.39379123425662e-201	0.993255286505197	0.963	0.401	1.64369800255883e-197	0	Serping1
2.73146550690022e-186	1.32165118130839	0.983	0.587	3.22121727228743e-182	0	Gsn
2.6974171211541e-172	1.26010761352202	0.768	0.191	3.18106401097703e-168	0	Gpx3
5.82164536592725e-155	0.822183172053682	0.768	0.187	6.86546638003801e-151	0	C3
3.02179725064662e-141	0.708779026930058	1	0.61	3.56360549768756e-137	0	Dcn
2.61375809783738e-119	0.698212235297683	0.769	0.272	3.08240492477963e-115	0	Fbln1
1.96776501178047e-100	0.375168804769965	0.987	0.592	2.32058527839271e-96	0	Igfbp7
2.3319475993045e-99	0.567871289468002	0.694	0.222	2.7500658038598e-95	0	Htra3
3.4657680434082e-96	0.591425627010076	0.805	0.336	4.08718025359129e-92	0	Igfbp4
5.32221850329921e-76	0.488194647986338	0.764	0.34	6.27649228094076e-72	0	Ly6a
5.82007705212398e-76	0.510967061186408	0.741	0.322	6.86361686756981e-72	0	Pcolce
8.86775479944104e-73	0.534007790970976	0.549	0.177	1.04577432349808e-68	0	Gm9973
4.22940440124149e-71	0.434947090712508	0.62	0.222	4.98773661038409e-67	0	Cygb
9.78398176768277e-69	0.446809906520082	0.436	0.1	1.15382496986283e-64	0	Dpep1
1.57030494527504e-68	0.463102561574662	0.79	0.398	1.85186062196286e-64	0	Serpinh1
4.64382095648009e-68	0.450054570709292	0.729	0.328	5.47645805397697e-64	0	Serpinf1
1.20164457181962e-66	0.415951142174934	0.673	0.279	1.41709944354688e-62	0	Dpt
2.75629727608972e-64	0.364823979747918	0.771	0.384	3.25050137769261e-60	0	Lum
2.04188826369789e-61	0.388366858547255	0.478	0.143	2.40799882937892e-57	0	Clec3b
4.56513823183513e-61	0.445173779442585	0.684	0.304	5.38366751680316e-57	0	Ccdc80
6.36107679315017e-60	0.347624437056866	0.436	0.118	7.501617862162e-56	0	Entpd2
9.60631305671542e-59	0.416796674117714	0.473	0.151	1.13287249877845e-54	0	C4b
1.89482573735966e-55	0.494564917601023	0.448	0.138	2.23456799206824e-51	0	Cxcl12
6.17776508830565e-55	0.807919196201847	0.407	0.113	7.28543836863886e-51	0	Mmp3
1.61644813831507e-52	0.264804961333624	0.845	0.511	1.90627728951496e-48	0	Bgn
7.52153190849847e-46	0.426323374980435	0.579	0.261	8.87014257969225e-42	0	Gas6
3.20642243667009e-45	0.352221104360363	0.512	0.214	3.78133397956503e-41	0	Mgst1
8.57662426523612e-42	0.336216187458375	0.16	0.016	1.0114412995993e-37	0	Cxcl14
1.14116278996644e-41	0.53257511991642	0.448	0.192	1.34577327820743e-37	0	Cxcl1
1.36254037701253e-41	0.377137748862767	0.859	0.628	1.60684386661088e-37	0	Ifitm3
8.16142124605067e-41	0.283864502523805	0.574	0.272	9.62476407546755e-37	0	Col1a2
1.98239850833911e-39	0.361164978131566	0.593	0.298	2.33784256088432e-35	0	Ecm1
1.0553303075146e-38	0.355316358831794	0.599	0.303	1.24455103165197e-34	0	Cebpd
8.2789944534143e-37	0.37756779457066	0.481	0.207	9.76341815891149e-33	0	Col3a1
3.11366628095937e-34	0.257035688626951	0.306	0.092	3.67194664513539e-30	0	Sfrp1
7.07327885622419e-34	0.268998780977172	0.485	0.219	8.34151775514519e-30	0	Rarres2
1.1107247634092e-32	0.378484427331746	0.678	0.412	1.30987771348847e-28	0	Id3
1.37801135190177e-31	0.289139792955404	0.488	0.232	1.62508878729776e-27	0	Il11ra1
1.49587430308288e-28	0.418632454157973	0.663	0.497	1.76408456562564e-24	0	Fos
3.31415389892414e-28	0.279764166609061	0.919	0.817	3.90838169300123e-24	0	Rps5
7.3056689093272e-25	0.391397246330083	0.242	0.076	8.61557534476957e-21	0	Hp
2.42985537676613e-23	0.251721535379089	0.886	0.798	2.86552844582029e-19	0	Rps4x
1.39608208787274e-21	0.264224694585522	0.412	0.21	1.64639960622832e-17	0	Mfap4
1.2525953422526e-19	0.264037408146306	0.667	0.477	1.47718568711849e-15	0	Hspa5
8.73668861097498e-19	0.267827353032454	0.471	0.315	1.03031768789228e-14	0	Jun
2.12443874425375e-14	0.277677749662043	0.636	0.536	2.50535061109844e-10	0	Junb
5.50696671962111e-25	0.351314073919343	0.778	0.679	6.49436585244917e-21	1	mt-Nd1
9.30884915390319e-09	0.256542075648166	0.389	0.235	0.00010977925807198	1	Mfap4
5.476279941988e-317	2.34677235428051	0.996	0.103	6.45817693558645e-313	2	H2-Ab1
2.88172794753631e-316	2.29963775509688	1	0.093	3.39842176852957e-312	2	H2-Aa
9.43924984174568e-313	2.1893640372799	0.996	0.079	1.11317073383707e-308	2	H2-Eb1
1.95120168200981e-311	2.5676868791653	1	0.132	2.30105214359417e-307	2	Cd74
7.1969074385119e-140	0.887911364853651	0.924	0.168	8.48731294223709e-136	2	Ctss
7.52908563924755e-134	0.704442395922246	0.659	0.046	8.87905069436463e-130	2	H2-DMa
5.74060683611999e-130	1.23276782346869	1	0.804	6.76989764183631e-126	2	Tceanc2
1.8247059498419e-125	0.997142257971392	0.981	0.283	2.15187572664855e-121	2	Ripor2
1.06712372964381e-121	1.22958326920654	0.996	0.459	1.25845901436894e-117	2	AW822252
2.43998959983445e-121	1.12602919701991	0.89	0.18	2.87747973508477e-117	2	C1qb
1.87216701079611e-117	0.813272429431722	0.932	0.228	2.20784655583185e-113	2	Gm12792
1.58380386092548e-116	0.884332237809952	0.924	0.224	1.86777989318942e-112	2	Plxna4
3.58234681617117e-112	1.11034865651578	0.864	0.179	4.22466160031067e-108	2	C1qa
4.09957522317897e-112	1.0242782319096	0.97	0.338	4.83462906069496e-108	2	Lrp4
1.6757066310216e-111	1.02286869570613	0.86	0.178	1.97616082996377e-107	2	C1qc
1.38764689014202e-109	0.940952327575828	0.924	0.248	1.63645197754448e-105	2	Tnfrsf26
1.43573697264164e-108	0.916290731874155	0.985	0.364	1.69316461183629e-104	2	Sec61a1
9.55348737654458e-108	1.19130111122056	0.894	0.232	1.1266427663159e-103	2	Lyz2
1.73807225598854e-107	0.810459028673887	0.917	0.239	2.04970861148729e-103	2	Gnaz
2.19581515394349e-107	0.876233696967045	0.894	0.22	2.58952481104556e-103	2	Lzts1
2.63038799595116e-104	1.03991381369137	0.958	0.35	3.1020165636252e-100	2	Bmt2
6.33400454294169e-98	0.666397604738543	0.803	0.167	7.46969155749114e-94	2	Fcer1g
4.10072335209126e-95	0.512246734603091	0.511	0.035	4.83598304912122e-91	2	H2-DMb1
4.50396804917286e-95	0.67575437458329	0.818	0.186	5.31152952038956e-91	2	Slc30a9
3.16017541180688e-86	0.617333296803688	0.765	0.17	3.72679486314385e-82	2	Gm5315
8.02969766635654e-86	0.795465303702023	0.708	0.137	9.46942245793427e-82	2	Cd14
8.44959274188052e-86	0.641610357397991	0.777	0.178	9.9646047204997e-82	2	Olfr344
1.48025447317517e-79	0.524989067793122	0.712	0.152	1.74566410021548e-75	2	Tyrobp
4.61044193902891e-75	0.511625171650495	0.712	0.165	5.43709417869679e-71	2	Hhex
1.29602668401866e-72	0.856935772357083	0.462	0.045	1.5284042684632e-68	2	Il1b
2.00577599165881e-72	1.08105949549009	0.64	0.138	2.36541162696324e-68	2	Cxcl2
1.51151182750966e-68	0.518958407045003	0.625	0.124	1.78252589818214e-64	2	Fcgr3
1.0072072313806e-67	0.49890754019921	0.674	0.159	1.18779948796714e-63	2	Amt
1.53457968222799e-67	0.701396606227308	0.989	0.859	1.80972981925147e-63	2	Tmsb4x
1.49390412433875e-64	0.590236191625277	0.576	0.106	1.76176113383268e-60	2	Ccl9
5.60531425077127e-62	0.488954438842782	0.67	0.172	6.61034709593455e-58	2	Cep290
6.53909349188214e-62	0.460750328852351	0.648	0.158	7.71155295497661e-58	2	Vmn2r84
