p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.13838463254908e-307	1.17096988897013	1	0.723	1.45610778349353e-303	0	Tpm2
5.3339329731316e-305	1.21438358077307	1	0.67	6.82263366593263e-301	0	Myl9
1.61734538346119e-298	1.13108391614218	0.994	0.461	2.06874647998521e-294	0	Cnn1
1.26752187658533e-295	0.994445685381369	1	0.832	1.6212872323403e-291	0	Dstn
3.38081985386447e-287	1.16553298769531	1	0.702	4.32440667507804e-283	0	Tagln
6.48423483613151e-280	1.09217115918574	1	0.719	8.29398477889582e-276	0	Csrp2
5.84286349066922e-255	1.1713064443511	1	0.849	7.473606690915e-251	0	Acta2
4.6610210359646e-246	0.822203263199328	1	0.98	5.96191200710232e-242	0	Myl6
3.67134340853351e-244	0.903455807259156	0.986	0.598	4.69601535385521e-240	0	Tpm1
8.13444886555582e-232	0.876603922709775	0.993	0.682	1.04047735439325e-227	0	Csrp1
4.6649198895722e-231	0.917318304235549	0.975	0.423	5.9668990307518e-227	0	Myh11
2.70331389028723e-209	0.925164145755769	1	0.946	3.45780879706639e-205	0	Tmsb4x
1.47733616188505e-208	0.876631961010095	0.904	0.354	1.88966068466717e-204	0	Ppp1r14a
7.20338434918166e-171	0.690456713939751	0.78	0.221	9.21384892103826e-167	0	Sh3bgr
2.34850397267167e-160	0.770171329541497	0.753	0.202	3.00397143144433e-156	0	Sost
1.73189669919508e-149	0.913723237823052	0.985	0.814	2.21526906794043e-145	0	Hspb1
8.3194443171328e-141	0.60888365268288	0.924	0.533	1.06414012260446e-136	0	Actn1
4.4611349026408e-140	0.643789516378533	0.925	0.504	5.70623765396785e-136	0	Flna
1.93463055106663e-135	0.615362237247681	0.904	0.453	2.47458593786932e-131	0	Lmod1
4.89481183722428e-120	0.581206271204861	0.74	0.269	6.26095382099358e-116	0	Pdlim3
1.461394603866e-119	0.615711536434125	0.771	0.341	1.86926983780501e-115	0	Msrb1
6.80165073415615e-119	0.565321231954473	0.884	0.462	8.69999145405913e-115	0	Rbpms
4.58168037243096e-118	0.574411320001608	0.72	0.254	5.86042736437644e-114	0	Hspb6
6.33166130472509e-117	0.540933498020829	0.615	0.159	8.09882797487386e-113	0	Fbxl22
7.54444587834097e-114	0.526921753890558	0.899	0.48	9.65010072298593e-110	0	Map1b
2.96433270654914e-113	0.556800371050984	0.957	0.684	3.79167796494701e-109	0	Cald1
4.90001335687696e-110	0.599063977458221	0.868	0.423	6.26760708478132e-106	0	Mfap4
9.57681612883245e-108	0.59883187643556	0.906	0.558	1.22497055103896e-103	0	Gstm1
1.42192536973777e-106	0.523724158114253	0.741	0.303	1.81878474043158e-102	0	Smtn
2.79323439254591e-105	0.467269312033679	1	0.976	3.57282611150548e-101	0	Vim
7.06464644912519e-101	0.503970948126729	0.708	0.27	9.03638927307603e-97	0	Mylk
2.4918041929147e-100	0.510810428235448	0.807	0.378	3.18726674315719e-96	0	Ramp1
1.16755316292751e-98	0.464970092930101	0.988	0.886	1.49341725070058e-94	0	Cpe
1.09975000360662e-97	0.516019866532442	0.834	0.429	1.40669022961323e-93	0	Fblim1
3.65865692937776e-96	0.450145785930907	0.594	0.179	4.6797880783671e-92	0	Sgcg
7.26448858198702e-96	0.522319792137753	0.924	0.636	9.2920073452196e-92	0	Fhl1
2.37335244466338e-95	0.499427040607449	0.769	0.368	3.03575511196894e-91	0	Zyx
1.60372777308609e-93	0.488759687651938	0.688	0.26	2.05132819455442e-89	0	Ccn3
5.00744339164696e-93	0.487562086680404	0.755	0.349	6.40502084225562e-89	0	Ppp1r12a
1.38890816411691e-91	0.442460715177804	0.785	0.361	1.77655243272194e-87	0	Itga8
